Session,EventRene_phases,EDA_AR_pairedt
Bram_C,Non_Health cue,0.5161436511658342
Bram_C,Non_Popularity cue,0.5292368624539912
Bram_C,Popularity cue,0.47924677578393393
Bregjie_C,Health cue,0.33064655991198694
Bregjie_C,Non_Health cue,0.5944777442879465
Bregjie_C,Non_Popularity cue,0.3040579992782417
Bregjie_C,Popularity cue,0.27433678064100536
Danique_C,Health cue,0.4993628195117373
Danique_C,Non_Health cue,0.6180772524876994
Danique_C,Non_Popularity cue,0.4755531098593881
Danique_C,Popularity cue,0.5381987984079422
Gijs_C,Health cue,0.655190711068923
Gijs_C,Non_Health cue,0.39374359409491094
Gijs_C,Non_Popularity cue,0.37847411120283575
Gijs_C,Popularity cue,0.3269613797688042
Jeroen_C,Health cue,0.6632206294047804
Jeroen_C,Non_Health cue,0.4723500945855168
Jeroen_C,Non_Popularity cue,0.49660191484380045
Jeroen_C,Popularity cue,0.4647654123809059
Joep_C,Health cue,0.4640353449363738
Joep_C,Non_Health cue,0.45514588503226866
Joep_C,Non_Popularity cue,0.6387032009040483
Joep_C,Popularity cue,0.4836631705740797
Juur_C,Health cue,0.6973414917245687
Juur_C,Non_Health cue,0.4731851522176073
Juur_C,Non_Popularity cue,0.5225865776027042
Juur_C,Popularity cue,0.5525413613254586
Klaas_C,Health cue,0.3563726651742598
Klaas_C,Non_Health cue,0.6110935439372511
Klaas_C,Non_Popularity cue,0.6444449597780104
Klaas_C,Popularity cue,0.46540444764279965
Leonie_C,Health cue,0.5038569269368349
Leonie_C,Non_Health cue,0.609893226214606
Leonie_C,Non_Popularity cue,0.47318195961565135
Leonie_C,Popularity cue,0.4922682216144337
Lieve_C,Health cue,0.2646636386189487
Lieve_C,Non_Health cue,0.5114513604736917
Lieve_C,Non_Popularity cue,0.33814204811028886
Lieve_C,Popularity cue,0.6734222313381094
Mira_C,Health cue,0.5430746508580359
Mira_C,Non_Health cue,0.2734287073236156
Mira_C,Non_Popularity cue,0.5347155441338683
Mira_C,Popularity cue,0.6170612082549951
Noortje_C,Health cue,0.7127730790116699
Noortje_C,Non_Health cue,0.6000544564447927
Noortje_C,Non_Popularity cue,0.5779757048202593
Noortje_C,Popularity cue,0.5328395281742319
Peuter_C,Health cue,0.462464186897701
Peuter_C,Non_Health cue,0.54375672454051
Peuter_C,Non_Popularity cue,0.8914852605562221
Peuter_C,Popularity cue,0.43392905044018804
Pieter_C,Health cue,0.5950556662514147
Pieter_C,Non_Health cue,0.49792300047057686
Pieter_C,Non_Popularity cue,0.5885204203650084
Pieter_C,Popularity cue,0.8237028055354472
Tijn_C,Health cue,0.48497179166383064
Tijn_C,Non_Health cue,0.5749711344617241
Tijn_C,Non_Popularity cue,0.6552413750139505
Tijn_C,Popularity cue,0.7393743573585367
Valentijn_C,Health cue,0.6864309442249501
Valentijn_C,Non_Health cue,0.4469745515530738
Valentijn_C,Non_Popularity cue,0.32367870211929356
Bram_C,Health cue,0.0
Valentijn_C,Popularity cue,0.0
