Session,EventRene,PFD
Bram_C,All,0.18369452096724823
Bram_C,BS,0.37357034795764
Bram_C,CG,0.3755494862791
Bram_C,FT,0.41472134038800706
Bram_C,HF,0.33737619642114025
Bregjie_C,All,0.1904134850137655
Bregjie_C,BS,0.3321974125165615
Bregjie_C,CG,0.2697053276756247
Bregjie_C,FT,0.36011789830905155
Bregjie_C,HF,0.3660170115866319
Danique_C,All,0.44164585191793043
Danique_C,BS,0.48092592592592587
Danique_C,CG,0.4441822744521973
Danique_C,FT,0.3438570453770044
Danique_C,HF,0.4372388955582233
Gijs_C,All,0.4456212090233762
Gijs_C,BS,0.3252847449412335
Gijs_C,CG,0.5489464078314252
Gijs_C,FT,0.4899005034763846
Gijs_C,HF,0.39270259828069154
Jeroen_C,All,0.2860559267954969
Jeroen_C,BS,0.2807845157491905
Jeroen_C,CG,0.3426679221594475
Jeroen_C,FT,0.28220711369455403
Jeroen_C,HF,0.29633675046782193
Joep_C,All,0.4583991429445975
Joep_C,BS,0.22500252143217347
Joep_C,CG,0.3732474964234621
Joep_C,FT,0.4158553791887125
Joep_C,HF,0.38819392426134003
Juur_C,All,0.2774963586340832
Juur_C,BS,0.38693983659321624
Juur_C,CG,0.17577343039126478
Juur_C,FT,0.3226674604628443
Juur_C,HF,0.24376099036364912
Klaas_C,All,0.4695893256631512
Klaas_C,BS,0.4222710027100271
Klaas_C,CG,0.4237855407915417
Klaas_C,FT,0.41111234705228034
Klaas_C,HF,0.33865121412803534
Leonie_C,All,0.3517439785905442
Leonie_C,BS,0.2487566137566138
Leonie_C,CG,0.07069714775370302
Leonie_C,FT,0.3094796997611737
Leonie_C,HF,0.30937575030012004
Lieve_C,All,0.43988888888888894
Lieve_C,BS,0.44754620123203287
Lieve_C,CG,0.3301831069108092
Lieve_C,FT,0.5246303501945525
Lieve_C,HF,0.5289234449760765
Mira_C,All,0.31569982480046715
Mira_C,BS,0.14502280057835615
Mira_C,CG,0.3784368070953436
Mira_C,FT,0.2182684325711267
Mira_C,HF,0.3616671174826436
Noortje_C,All,0.48830549689639724
Noortje_C,BS,0.6345144998370804
Noortje_C,CG,0.3256696748316861
Noortje_C,FT,0.6347460458899532
Noortje_C,HF,0.5807044308835234
Peuter_C,All,0.49840149020966906
Peuter_C,BS,0.4105801891122739
Peuter_C,CG,0.4033229491173417
Peuter_C,FT,0.49034514617567476
Peuter_C,HF,0.6118005849303471
Pieter_C,All,0.482790087285601
Pieter_C,BS,0.33730302117836
Pieter_C,CG,0.27366550342510015
Pieter_C,FT,0.5731350629262462
Pieter_C,HF,0.3893579540744425
Tijn_C,All,0.37764631312064234
Tijn_C,BS,0.44998393109654206
Tijn_C,CG,0.2435800468215379
Tijn_C,FT,0.2607234820167788
Tijn_C,HF,0.21625923676485476
Valentijn_C,All,0.3624754116787501
Valentijn_C,BS,0.23515563175943024
Valentijn_C,CG,0.27519951896796757
Valentijn_C,FT,0.26181794921000445
Valentijn_C,HF,0.3882264529058116
