Session,EventRene_phases,PFD_pairedt
Bram_C,Non_Health cue,0.33737619642114025
Bram_C,Non_Popularity cue,0.3811472842884959
Bram_C,Popularity cue,0.2788837842436617
Bregjie_C,Health cue,0.06280744004919041
Bregjie_C,Non_Health cue,0.4116080096152364
Bregjie_C,Non_Popularity cue,0.34685990338164246
Bregjie_C,Popularity cue,0.27102982668278924
Danique_C,Health cue,0.20931142410015643
Danique_C,Non_Health cue,0.46176945101897904
Danique_C,Non_Popularity cue,0.5139367182764891
Danique_C,Popularity cue,0.40449384448555215
Gijs_C,Health cue,0.27819752484631843
Gijs_C,Non_Health cue,0.4039125858645308
Gijs_C,Non_Popularity cue,0.3431426930974416
Gijs_C,Popularity cue,0.2958299224731546
Jeroen_C,Health cue,0.06320049813200498
Jeroen_C,Non_Health cue,0.3531699048775552
Jeroen_C,Non_Popularity cue,0.20803834144962546
Jeroen_C,Popularity cue,0.37830947582381624
Joep_C,Health cue,0.04760313216195569
Joep_C,Non_Health cue,0.5087790474902518
Joep_C,Non_Popularity cue,0.3587115744453354
Joep_C,Popularity cue,0.10565020281555715
Juur_C,Health cue,0.17558366962937288
Juur_C,Non_Health cue,0.24897357317680285
Juur_C,Non_Popularity cue,0.41176292849481044
Juur_C,Popularity cue,0.27431626567962164
Klaas_C,Health cue,0.3822093304326807
Klaas_C,Non_Health cue,0.3342734980443602
Klaas_C,Non_Popularity cue,0.5792739017559639
Klaas_C,Popularity cue,0.24502088574000142
Leonie_C,Health cue,0.21505301647647257
Leonie_C,Non_Health cue,0.47251318908173423
Leonie_C,Non_Popularity cue,0.4966101587018659
Leonie_C,Popularity cue,0.09826332654331246
Lieve_C,Health cue,0.48008236881346306
Lieve_C,Non_Health cue,0.5430713536417302
Lieve_C,Non_Popularity cue,0.5618778844814337
Lieve_C,Popularity cue,0.0823848549653381
Mira_C,Health cue,0.06793332138376054
Mira_C,Non_Health cue,0.45388417807184595
Mira_C,Non_Popularity cue,0.16092697517204485
Mira_C,Popularity cue,0.1237915922739815
Noortje_C,Health cue,0.5610017889087656
Noortje_C,Non_Health cue,0.5822825619716292
Noortje_C,Non_Popularity cue,0.6289803977939008
Noortje_C,Popularity cue,0.6485922133908122
Peuter_C,Health cue,0.47892231079330916
Peuter_C,Non_Health cue,0.6473280692941342
Peuter_C,Non_Popularity cue,0.47482771019356385
Peuter_C,Popularity cue,0.20032359286134535
Pieter_C,Health cue,0.3576446047324042
Pieter_C,Non_Health cue,0.39562119516256716
Pieter_C,Non_Popularity cue,0.32683378641710975
Pieter_C,Popularity cue,0.35481296691210984
Tijn_C,Health cue,0.16938478292244513
Tijn_C,Non_Health cue,0.22746070614498515
Tijn_C,Non_Popularity cue,0.5291407346499001
Tijn_C,Popularity cue,0.28172055972435683
Valentijn_C,Health cue,0.3028449592093019
Valentijn_C,Non_Health cue,0.41029532987882766
Valentijn_C,Non_Popularity cue,0.23515563175943024
Bram_C,Health cue,0.0
Valentijn_C,Popularity cue,0.0
